time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-20T03:35:06.537Z,62.2029,-151.738,92.4,1.7,ml,,,,0.48,ak,ak0216fl8eip,2021-05-20T03:39:40.236Z,"29 km NW of Skwentna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-05-20T03:31:41.562Z,61.539,-149.6684,64,0.9,ml,,,,1.05,ak,ak0216fl7mcs,2021-05-20T03:35:19.498Z,"4 km NW of Knik-Fairview, Alaska",earthquake,,1,,,automatic,ak,ak
2021-05-20T03:18:11.625Z,59.7095,-138.8546,0.9,1.8,ml,,,,0.55,ak,ak0216fl4rqi,2021-05-20T03:23:08.106Z,"52 km ENE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-05-20T03:10:27.370Z,37.8963318,-121.9963303,10.7,1.99,md,22,66,0.1184,0.08,nc,nc73564830,2021-05-20T03:27:13.017Z,"6km NNE of Alamo, CA",earthquake,0.26,0.74,0.12,20,automatic,nc,nc
2021-05-20T02:50:37.710Z,38.8339996,-122.807663,1.9,2.37,md,9,64,0.02221,0.01,nc,nc73564820,2021-05-20T03:03:12.977Z,"7km W of Cobb, CA",earthquake,0.35,1.19,1.34,2,automatic,nc,nc
2021-05-20T02:46:19.162Z,38.1603,-117.8421,10.5,1.2,ml,13,99.09,0.023,0.1216,nn,nn00807636,2021-05-20T03:44:33.272Z,"34 km SE of Mina, Nevada",earthquake,,0.5,0.25,8,automatic,nn,nn
2021-05-20T02:35:27.630Z,38.7878342,-122.7630005,1.32,0.8,md,8,183,0.02019,0.02,nc,nc73564815,2021-05-20T02:53:14.633Z,"1km NNW of The Geysers, CA",earthquake,0.51,0.45,0.35,3,automatic,nc,nc
2021-05-20T02:29:54.280Z,17.977,-66.8375,16,2.99,md,20,187,0.2404,0.14,pr,pr2021140000,2021-05-20T02:59:43.360Z,"Puerto Rico region",earthquake,0.44,0.3,0.27,11,reviewed,pr,pr
2021-05-20T02:24:48.190Z,35.6878333,-117.4043333,3.86,2.02,ml,20,143,0.1116,0.16,ci,ci39659335,2021-05-20T02:35:24.800Z,"9km SSW of Trona, CA",earthquake,0.45,1.25,0.135,26,automatic,ci,ci
2021-05-20T02:21:04.650Z,38.8126678,-122.8241653,2.34,0.99,md,13,78,0.005453,0.01,nc,nc73564805,2021-05-20T02:39:15.032Z,"7km NW of The Geysers, CA",earthquake,0.3,0.83,0.24,2,automatic,nc,nc
2021-05-20T02:12:45.210Z,19.1765003204346,-155.475494384766,32.310001373291,2.1,ml,44,83,,0.119999997,hv,hv72476137,2021-05-20T02:18:15.660Z,"2 km S of Pāhala, Hawaii",earthquake,0.53,1,4.56,4,automatic,hv,hv
2021-05-20T02:00:03.450Z,19.1908340454102,-155.454833984375,36.0499992370605,1.98,ml,49,120,,0.119999997,hv,hv72476122,2021-05-20T02:05:35.160Z,"2 km ESE of Pāhala, Hawaii",earthquake,0.48,0.699999988,4.59,6,automatic,hv,hv
2021-05-20T01:59:39.720Z,35.7955017,-117.6193314,3.89,1.86,ml,24,86,0.02688,0.13,ci,ci39659319,2021-05-20T02:10:12.780Z,"20km W of Searles Valley, CA",earthquake,0.33,0.6,0.283,22,automatic,ci,ci
2021-05-20T01:58:39.200Z,35.6638333,-117.3018333,0.28,1.51,ml,14,222,0.1477,0.35,ci,ci39659295,2021-05-20T02:02:22.898Z,"13km SSE of Trona, CA",earthquake,3.45,31.61,0.175,17,automatic,ci,ci
2021-05-20T01:56:47.270Z,35.7943333,-117.624,3.86,2.14,ml,21,71,0.03033,0.12,ci,ci39659287,2021-05-20T02:07:07.940Z,"20km NNE of Ridgecrest, CA",earthquake,0.24,0.46,0.163,26,automatic,ci,ci
2021-05-20T01:38:55.280Z,35.9758333,-117.3043333,4.47,2.16,ml,11,225,0.1707,0.14,ci,ci39659279,2021-05-20T01:52:14.414Z,"24km NNE of Trona, CA",earthquake,0.79,1.2,0.104,4,automatic,ci,ci
2021-05-20T01:37:22.690Z,35.9748333,-117.3245,3.04,3.59,mw,37,64,0.09013,0.16,ci,ci39659271,2021-05-20T03:40:01.602Z,"24km NNE of Trona, CA",earthquake,0.23,0.62,,4,reviewed,ci,ci
2021-05-20T01:32:30.010Z,38.8343315,-122.8065033,1.74,2.14,md,26,47,0.02176,0.03,nc,nc73564780,2021-05-20T03:22:12.828Z,"7km W of Cobb, CA",earthquake,0.18,0.34,0.09,12,automatic,nc,nc
2021-05-20T01:21:43.902Z,63.0383,-152.8361,0,1.7,ml,,,,0.88,ak,ak0216fjym6f,2021-05-20T01:26:36.573Z,"77 km E of Nikolai, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-05-20T00:37:29.216Z,37.4638,-116.7565,16,2,ml,10,164.76,0.959,0.3111,nn,nn00807629,2021-05-20T01:38:19.294Z,"50 km ESE of Goldfield, Nevada",earthquake,,0.9,0.77,6,automatic,nn,nn
2021-05-20T00:37:26.100Z,38.8339996,-122.8174973,1.71,0.97,md,14,59,0.01478,0.01,nc,nc73564775,2021-05-20T01:12:11.969Z,"8km NW of The Geysers, CA",earthquake,0.24,0.78,0.25,2,automatic,nc,nc
